network,mean,std,model,removed,type,R50_who,group2,group,statlab,connectance,hosts,symbionts,links
gbr,0.53015873,0,LT_HL,links,link,hosts,pac,pac,,0.042,157,48,315
gbr,0.695366362,0.008875585,LT_SL,links,link,hosts,pac,pac,,0.042,157,48,315
gbr,0.67336861,0.01650429,Random_link,links,link,hosts,pac,pac,,0.042,157,48,315
gbr,0.71380471,0.14730159,Degree_high,symbionts,node,hosts,pac,pac,,0.042,157,48,315
gbr,0.60416667,0.07161996,Degree_low,symbionts,node,hosts,pac,pac,,0.042,157,48,315
gbr,0.66224747,0.18961057,Random_node,symbionts,node,hosts,pac,pac,,0.042,157,48,315
gbr,0.64877946,0.05618411,Tolerance_low,symbionts,node,hosts,pac,pac,,0.042,157,48,315
gbr,0.489049222,0.073220359,bleach,links,link,symbs,pac,pac,,0.042,157,48,315
gbr,0.815392015,0.027507172,LT_BH,links,link,symbs,pac,pac,,0.042,157,48,315
gbr,0.41843835,0.05756118,LT_BL,links,link,symbs,pac,pac,,0.042,157,48,315
gbr,0.41904762,5.55E-17,LT_HL,links,link,symbs,pac,pac,,0.042,157,48,315
gbr,0.589866923,0.050517682,LT_SL,links,link,symbs,pac,pac,,0.042,157,48,315
gbr,0.67782588,0.05839988,Random_link,links,link,symbs,pac,pac,,0.042,157,48,315
gbr,0.72933153,0.07936522,Degree_high,hosts,node,symbs,pac,pac,,0.042,157,48,315
gbr,0.793862189,0.041273188,Degree_low,hosts,node,symbs,pac,pac,,0.042,157,48,315
gbr,0.65392781,0.16194441,Random_node,hosts,node,symbs,pac,pac,,0.042,157,48,315
gbr,0.35031847,1.11E-16,Tolerance_low,hosts,node,symbs,pac,pac,,0.042,157,48,315
j,0.616883117,0.066796317,bleach,links,link,both,pac,pac,,0.085,58,17,84
j,0.638888889,0.015322338,LT_BH,links,link,both,pac,pac,,0.085,58,17,84
j,0.57479557,0.05380249,LT_BL,links,link,both,pac,pac,,0.085,58,17,84
j,0.51190476,1.11E-16,LT_HL,links,link,both,pac,pac,,0.085,58,17,84
j,0.597883598,0.054292896,LT_SL,links,link,both,pac,pac,,0.085,58,17,84
j,0.63985089,0.02888157,Random_link,links,link,both,pac,pac,,0.085,58,17,84
j,0.41239057,0.0034178,Degree_high,both,node,both,pac,pac,,0.085,58,17,84
j,0.29804714,0.07447385,Degree_low,both,node,both,pac,pac,,0.085,58,17,84
j,0.34397306,0.0784812,Random_node,both,node,both,pac,pac,,0.085,58,17,84
j,0.16983165,0.020724118,Tolerance_low,both,node,both,pac,pac,,0.085,58,17,84
j,0.56986532,0.056415892,bleach,links,link,hosts,pac,pac,,0.085,58,17,84
j,0.611351611,0.011761175,LT_BH,links,link,hosts,pac,pac,,0.085,58,17,84
j,0.51491101,0.05278994,LT_BL,links,link,hosts,pac,pac,,0.085,58,17,84
j,0.44047619,1.11E-16,LT_HL,links,link,hosts,pac,pac,,0.085,58,17,84
j,0.582852333,0.06025095,LT_SL,links,link,hosts,pac,pac,,0.085,58,17,84
j,0.5969216,0.02728433,Random_link,links,link,hosts,pac,pac,,0.085,58,17,84
j,0.61794415,0.10913142,Degree_high,symbionts,node,hosts,pac,pac,,0.085,58,17,84
j,0.47831254,0.13906282,Degree_low,symbionts,node,hosts,pac,pac,,0.085,58,17,84
j,0.58942365,0.20290777,Random_node,symbionts,node,hosts,pac,pac,,0.085,58,17,84
j,0.45513963,0.09142993,Tolerance_low,symbionts,node,hosts,pac,pac,,0.085,58,17,84
j,0.800986051,0.065293711,bleach,links,link,symbs,pac,pac,,0.085,58,17,84
j,0.73039923,0.081136669,LT_BH,links,link,symbs,pac,pac,,0.085,58,17,84
j,0.73388648,0.05889065,LT_BL,links,link,symbs,pac,pac,,0.085,58,17,84
j,0.73809524,1.11E-16,LT_HL,links,link,symbs,pac,pac,,0.085,58,17,84
j,0.625781626,0.118010897,LT_SL,links,link,symbs,pac,pac,,0.085,58,17,84
j,0.77104377,0.07852784,Random_link,links,link,symbs,pac,pac,,0.085,58,17,84
j,0.71960989,0.08522907,Degree_high,hosts,node,symbs,pac,pac,,0.085,58,17,84
j,0.840299547,0.013552822,Degree_low,hosts,node,symbs,pac,pac,,0.085,58,17,84
j,0.73336816,0.108168,Random_node,hosts,node,symbs,pac,pac,,0.085,58,17,84
j,0.74137931,1.11E-16,Tolerance_low,hosts,node,symbs,pac,pac,,0.085,58,17,84
