Symbiont Index,Host Index,T_MMM_05_degC
776,623,30.38
776,628,30.38
776,635,30.38
776,643,30.38
776,650,30.38
776,654,30.38
854,438,30.38
855,635,30.38
864,141,30.38
864,237,30.38
864,296,30.38
864,366,30.38
864,658,30.38
864,663,30.38
772,592,30.38
772,658,30.38
865,584,30.38
865,592,30.38
873,584,30.38
873,592,30.38
792,461,30.38
762,8,30.38
762,10,30.38
762,20,30.38
762,25,30.38
762,27,30.38
762,30,30.38
762,36,30.38
762,39,30.38
762,42,30.38
762,46,30.38
762,51,30.38
762,53,30.38
762,54,30.38
762,73,30.38
762,76,30.38
762,89,30.38
762,90,30.38
762,91,30.38
762,95,30.38
762,99,30.38
762,103,30.38
762,106,30.38
762,108,30.38
762,112,30.38
762,117,30.38
762,145,30.38
762,149,30.38
762,178,30.38
762,181,30.38
762,190,30.38
762,211,30.38
762,218,30.38
762,223,30.38
762,228,30.38
762,234,30.38
762,235,30.38
762,243,30.38
762,249,30.38
762,252,30.38
762,254,30.38
762,256,30.38
762,257,30.38
762,261,30.38
762,266,30.38
762,271,30.38
762,276,30.38
762,277,30.38
762,280,30.38
762,283,30.38
762,286,30.38
762,288,30.38
762,296,30.38
762,302,30.38
762,306,30.38
762,316,30.38
762,319,30.38
762,322,30.38
762,324,30.38
762,333,30.38
762,339,30.38
762,343,30.38
762,346,30.38
762,354,30.38
762,360,30.38
762,366,30.38
762,370,30.38
762,373,30.38
762,404,30.38
762,407,30.38
762,418,30.38
762,434,30.38
762,477,30.38
762,479,30.38
762,481,30.38
762,482,30.38
762,498,30.38
762,503,30.38
762,510,30.38
762,517,30.38
762,519,30.38
762,524,30.38
762,529,30.38
762,531,30.38
762,536,30.38
762,539,30.38
762,545,30.38
762,547,30.38
762,550,30.38
762,554,30.38
762,556,30.38
762,600,30.38
762,661,30.38
762,708,30.38
762,710,30.38
762,713,30.38
762,715,30.38
762,722,30.38
752,8,30.38
752,10,30.38
752,30,30.38
752,42,30.38
752,53,30.38
752,54,30.38
752,73,30.38
752,76,30.38
752,91,30.38
752,95,30.38
752,99,30.38
752,103,30.38
752,106,30.38
752,108,30.38
752,112,30.38
752,117,30.38
752,145,30.38
752,149,30.38
752,178,30.38
752,181,30.38
752,190,30.38
752,211,30.38
752,218,30.38
752,223,30.38
752,228,30.38
752,234,30.38
752,235,30.38
752,243,30.38
752,249,30.38
752,252,30.38
752,254,30.38
752,256,30.38
752,261,30.38
752,266,30.38
752,271,30.38
752,276,30.38
752,277,30.38
752,280,30.38
752,283,30.38
752,286,30.38
752,288,30.38
752,296,30.38
752,302,30.38
752,306,30.38
752,316,30.38
752,319,30.38
752,322,30.38
752,324,30.38
752,333,30.38
752,339,30.38
752,343,30.38
752,346,30.38
752,354,30.38
752,360,30.38
752,366,30.38
752,370,30.38
752,373,30.38
752,404,30.38
752,407,30.38
752,418,30.38
752,434,30.38
752,477,30.38
752,479,30.38
752,481,30.38
752,482,30.38
752,498,30.38
752,503,30.38
752,510,30.38
752,517,30.38
752,519,30.38
752,524,30.38
752,529,30.38
752,531,30.38
752,536,30.38
752,539,30.38
752,545,30.38
752,547,30.38
752,550,30.38
752,554,30.38
752,556,30.38
752,600,30.38
752,661,30.38
752,710,30.38
752,713,30.38
752,715,30.38
752,722,30.38
929,708,30.38
737,8,30.38
737,10,30.38
737,20,30.38
737,25,30.38
737,27,30.38
737,36,30.38
737,39,30.38
737,42,30.38
737,46,30.38
737,51,30.38
737,53,30.38
737,76,30.38
737,89,30.38
737,90,30.38
737,95,30.38
737,103,30.38
737,108,30.38
737,112,30.38
737,117,30.38
737,257,30.38
737,261,30.38
737,316,30.38
735,576,30.38
761,576,30.38
970,54,30.38
784,54,30.38
786,8,30.38
786,30,30.38
786,87,30.38
786,108,30.38
786,117,30.38
786,141,30.38
786,149,30.38
786,178,30.38
786,190,30.38
786,218,30.38
786,254,30.38
786,261,30.38
786,271,30.38
786,277,30.38
786,280,30.38
786,296,30.38
786,306,30.38
786,310,30.38
786,319,30.38
786,322,30.38
786,324,30.38
786,328,30.38
786,330,30.38
786,331,30.38
786,354,30.38
786,359,30.38
786,366,30.38
786,373,30.38
786,404,30.38
786,418,30.38
786,434,30.38
786,493,30.38
786,507,30.38
786,510,30.38
786,514,30.38
786,519,30.38
786,529,30.38
786,536,30.38
786,539,30.38
786,545,30.38
786,547,30.38
786,550,30.38
786,556,30.38
786,572,30.38
786,576,30.38
786,592,30.38
786,598,30.38
786,658,30.38
786,713,30.38
786,722,30.38
972,261,30.38
972,319,30.38
972,434,30.38
972,547,30.38
972,550,30.38
973,576,30.38
748,8,30.38
748,30,30.38
748,87,30.38
748,108,30.38
748,117,30.38
748,141,30.38
748,149,30.38
748,178,30.38
748,190,30.38
748,218,30.38
748,254,30.38
748,261,30.38
748,271,30.38
748,277,30.38
748,280,30.38
748,296,30.38
748,306,30.38
748,310,30.38
748,319,30.38
748,322,30.38
748,324,30.38
748,328,30.38
748,330,30.38
748,331,30.38
748,354,30.38
748,359,30.38
748,366,30.38
748,373,30.38
748,404,30.38
748,418,30.38
748,434,30.38
748,493,30.38
748,507,30.38
748,510,30.38
748,514,30.38
748,519,30.38
748,529,30.38
748,536,30.38
748,539,30.38
748,545,30.38
748,547,30.38
748,550,30.38
748,556,30.38
748,572,30.38
748,592,30.38
748,598,30.38
748,658,30.38
748,713,30.38
748,722,30.38
975,87,30.38
748,333,30.38
748,436,30.38
748,439,30.38
748,446,30.38
748,452,30.38
748,461,30.38
748,466,30.38
748,472,30.38
748,576,30.38
748,584,30.38
976,592,30.38
770,493,30.38
746,163,28.78
