Clade,Type,Host_Family,Host_Genus,Host_Sci_Name,Ocean,Region,host_tol,symb_ID,host_ID,T_MMM_05
C,C3,Faviidae,Colpophyllia,Colpophyllia natans,Caribbean,Central_Caribbean,0.820,762,154,29.94
C,C3,Faviidae,Colpophyllia,Colpophyllia sp.,Caribbean,Central_Caribbean,0.820,762,157,29.94
C,C3,Faviidae,Diploria,Diploria sp.,Caribbean,Central_Caribbean,0.827,762,204,29.94
C,C3,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,762,411,29.94
C,C3,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,762,411,29.94
C,C3,Faviidae,Montastraea,Montastraea cavernosa,Caribbean,Central_Caribbean,0.856,762,415,29.94
C,C3,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Central_Caribbean,0.810,762,694,29.94
C,C3,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Central_Caribbean,0.810,762,694,29.94
C,C3L,Faviidae,Colpophyllia,Colpophyllia natans,Caribbean,Central_Caribbean,0.820,924,154,29.94
C,C3L,Faviidae,Colpophyllia,Colpophyllia sp.,Caribbean,Central_Caribbean,0.820,924,157,29.94
C,C3L,Faviidae,Diploria,Diploria sp.,Caribbean,Central_Caribbean,0.827,924,204,29.94
C,C44,Poritidae,Porites,Porites divaricata,Caribbean,Central_Caribbean,0.973,935,618,29.94
C,C44a,Poritidae,Porites,Porites divaricata,Caribbean,Central_Caribbean,0.973,936,618,29.94
C,C45a,Poritidae,Porites,Porites porites,Caribbean,Central_Caribbean,0.802,938,641,29.94
C,C46,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Central_Caribbean,0.769,939,689,29.94
C,C46,Siderastreidae,Siderastrea,Siderastrea sp.,Caribbean,Central_Caribbean,0.815,939,695,29.94
C,C50,Faviidae,Diploria,Diploria sp.,Caribbean,Central_Caribbean,0.827,943,204,29.94
C,C51,Mussidae,Mycetophyllia,Mycetophyllia sp.,Caribbean,Central_Caribbean,0.907,944,492,29.94
C,C54,Faviidae,Favia,Favia fragum,Caribbean,Central_Caribbean,0.658,947,248,29.94
C,C54a,Faviidae,Favia,Favia fragum,Caribbean,Central_Caribbean,0.658,948,248,29.94
C,C7,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,741,411,29.94
C,C7,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Central_Caribbean,0.780,741,424,29.94
C,C7,Faviidae,Montastraea,Montastraea franksi,Caribbean,Central_Caribbean,0.826,741,429,29.94
C,C76,Mussidae,Isophyllia,Isophyllia sinuosa,Caribbean,Central_Caribbean,0.973,963,351,29.94
C,C77,Mussidae,Isophyllastrea,Isophyllastrea rigida,Caribbean,Central_Caribbean,0.973,964,349,29.94
D,D1,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,786,411,29.94
D,D1,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,786,411,29.94
D,D1,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Central_Caribbean,0.780,786,424,29.94
D,D1,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Central_Caribbean,0.780,786,424,29.94
D,D1,Faviidae,Montastraea,Montastraea franksi,Caribbean,Central_Caribbean,0.826,786,429,29.94
D,D1,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Central_Caribbean,0.810,786,694,29.94
D,D1a,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,748,411,29.94
D,D1a,Faviidae,Montastraea,Montastraea annularis,Caribbean,Central_Caribbean,0.811,748,411,29.94
D,D1a,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Central_Caribbean,0.780,748,424,29.94
D,D1a,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Central_Caribbean,0.780,748,424,29.94
D,D1a,Faviidae,Montastraea,Montastraea franksi,Caribbean,Central_Caribbean,0.826,748,429,29.94
D,D1a,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Central_Caribbean,0.810,748,694,29.94
A,A3,Acroporidae,Acropora,Acropora palmata,Caribbean,Eastern_Caribbean,0.742,773,80,29.63
A,A3,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Eastern_Caribbean,0.769,773,685,29.63
A,A3,Astrocoeniidae,Stephanocoenia,Stephanocoenia intersepta,Caribbean,Eastern_Caribbean,0.812,773,698,29.63
A,A4,Poritidae,Porites,Porites astreoides,Caribbean,Eastern_Caribbean,0.840,787,604,29.63
A,A4,Poritidae,Porites,Porites porites,Caribbean,Eastern_Caribbean,0.802,787,639,29.63
A,A4a,Poritidae,Porites,Porites astreoides,Caribbean,Eastern_Caribbean,0.840,774,604,29.63
A,A4porites,Poritidae,Porites,Porites porites,Caribbean,Eastern_Caribbean,0.802,801,639,29.63
B,B1,Agariciidae,Agaricia,Agaricia agaricites,Caribbean,Eastern_Caribbean,0.665,754,122,29.63
B,B1,Agariciidae,Agaricia,Agaricia fragilis,Caribbean,Eastern_Caribbean,0.927,754,125,29.63
B,B1,Agariciidae,Agaricia,Agaricia humilis,Caribbean,Eastern_Caribbean,0.890,754,128,29.63
B,B1,Faviidae,Colpophyllia,Colpophyllia natans,Caribbean,Eastern_Caribbean,0.820,754,151,29.63
B,B1,Meandrinidae,Dendrogyra,Dendrogyra cylindrus,Caribbean,Eastern_Caribbean,0.546,754,182,29.63
B,B1,Meandrinidae,Dichocoenia,Dichocoenia stokesi,Caribbean,Eastern_Caribbean,0.898,754,185,29.63
B,B1,Faviidae,Diploria,Diploria clivosa,Caribbean,Eastern_Caribbean,0.825,754,195,29.63
B,B1,Faviidae,Diploria,Diploria labyrinthiformis,Caribbean,Eastern_Caribbean,0.877,754,198,29.63
B,B1,Faviidae,Diploria,Diploria strigosa,Caribbean,Eastern_Caribbean,0.824,754,205,29.63
B,B1,Meandrinidae,Eusmilia,Eusmilia fastigiata,Caribbean,Eastern_Caribbean,0.859,754,238,29.63
B,B1,Faviidae,Favia,Favia fragum,Caribbean,Eastern_Caribbean,0.658,754,244,29.63
B,B1,Meandrinidae,Meandrina,Meandrina meandrites,Caribbean,Eastern_Caribbean,0.836,754,400,29.63
B,B1,Faviidae,Montastraea,Montastraea annularis,Caribbean,Eastern_Caribbean,0.811,754,408,29.63
B,B1,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Eastern_Caribbean,0.780,754,425,29.63
B,B1,Poritidae,Porites,Porites astreoides,Caribbean,Eastern_Caribbean,0.840,754,604,29.63
B,B1,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Eastern_Caribbean,0.769,754,685,29.63
B,B13,Pocilloporidae,Madracis,Madracis mirabilis,Caribbean,Eastern_Caribbean,0.940,802,387,29.63
B,B13,Pocilloporidae,Madracis,Madracis sp.,Caribbean,Eastern_Caribbean,0.899,802,392,29.63
B,B15,Pocilloporidae,Madracis,Madracis formosa,Caribbean,Eastern_Caribbean,0.973,804,385,29.63
B,B15,Pocilloporidae,Madracis,Madracis pharensis,Caribbean,Eastern_Caribbean,0.973,804,389,29.63
B,B1j,Faviidae,Montastraea,Montastraea annularis,Caribbean,Eastern_Caribbean,0.811,738,408,29.63
B,B1j,Faviidae,Montastraea,Montastraea faveolata,Caribbean,Eastern_Caribbean,0.780,738,425,29.63
B,B1k,Meandrinidae,Dendrogyra,Dendrogyra cylindrus,Caribbean,Eastern_Caribbean,0.546,806,182,29.63
B,B35,Faviidae,Diploria,Diploria strigosa,Caribbean,Eastern_Caribbean,0.824,809,205,29.63
B,B5,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Eastern_Caribbean,0.769,763,685,29.63
B,B7,Pocilloporidae,Madracis,Madracis carmabi,Caribbean,Eastern_Caribbean,0.894,813,380,29.63
B,B7,Pocilloporidae,Madracis,Madracis decactis,Caribbean,Eastern_Caribbean,0.973,813,381,29.63
B,B7,Pocilloporidae,Madracis,Madracis formosa,Caribbean,Eastern_Caribbean,0.973,813,385,29.63
B,B7,Pocilloporidae,Madracis,Madracis mirabilis,Caribbean,Eastern_Caribbean,0.940,813,387,29.63
B,B7,Pocilloporidae,Madracis,Madracis pharensis,Caribbean,Eastern_Caribbean,0.973,813,389,29.63
B,B7,Pocilloporidae,Madracis,Madracis senaria,Caribbean,Eastern_Caribbean,0.973,813,391,29.63
B,B7,Pocilloporidae,Madracis,Madracis sp.,Caribbean,Eastern_Caribbean,0.899,813,392,29.63
C,C1,Poritidae,Porites,Porites astreoides,Caribbean,Eastern_Caribbean,0.840,750,604,29.63
C,C10,Poritidae,Porites,Porites sp.,Caribbean,Eastern_Caribbean,0.695,823,649,29.63
C,C10a,Poritidae,Porites,Porites sp.,Caribbean,Eastern_Caribbean,0.695,829,649,29.63
C,C11,Mussidae,Mussa,Mussa angulosa,Caribbean,Eastern_Caribbean,0.890,830,473,29.63
C,C11,Mussidae,Mussa,Mussa sp.,Caribbean,Eastern_Caribbean,0.890,830,475,29.63
C,C11,Mussidae,Mycetophyllia,Mycetophyllia sp.,Caribbean,Eastern_Caribbean,0.907,830,490,29.63
C,C13,Poritidae,Porites,Porites sp.,Caribbean,Eastern_Caribbean,0.695,834,649,29.63
C,C14,Poritidae,Porites,Porites sp.,Caribbean,Eastern_Caribbean,0.695,835,649,29.63
C,C1a,Poritidae,Porites,Porites astreoides,Caribbean,Eastern_Caribbean,0.840,862,604,29.63
C,C1i,Poritidae,Porites,Porites astreoides,Caribbean,Eastern_Caribbean,0.840,868,604,29.63
C,C3,Agariciidae,Agaricia,Agaricia agaricites,Caribbean,Eastern_Caribbean,0.665,762,122,29.63
C,C3,Agariciidae,Agaricia,Agaricia fragilis,Caribbean,Eastern_Caribbean,0.927,762,125,29.63
C,C3,Agariciidae,Agaricia,Agaricia humilis,Caribbean,Eastern_Caribbean,0.890,762,128,29.63
C,C3,Agariciidae,Agaricia,Agaricia lamarcki,Caribbean,Eastern_Caribbean,0.745,762,131,29.63
C,C3,Faviidae,Diploria,Diploria labyrinthiformis,Caribbean,Eastern_Caribbean,0.877,762,198,29.63
C,C3,Faviidae,Diploria,Diploria strigosa,Caribbean,Eastern_Caribbean,0.824,762,205,29.63
C,C3,Faviidae,Favia,Favia fragum,Caribbean,Eastern_Caribbean,0.658,762,244,29.63
C,C3,Agariciidae,Leptoseris,Leptoseris cucullata,Caribbean,Eastern_Caribbean,0.890,762,362,29.63
C,C3,Faviidae,Montastraea,Montastraea cavernosa,Caribbean,Eastern_Caribbean,0.856,762,414,29.63
C,C3,Poritidae,Porites,Porites astreoides,Caribbean,Eastern_Caribbean,0.840,762,604,29.63
C,C3,Mussidae,Scolymia,Scolymia sp.,Caribbean,Eastern_Caribbean,0.313,762,677,29.63
C,C3,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Eastern_Caribbean,0.769,762,685,29.63
C,C3,Siderastreidae,Siderastrea,Siderastrea siderea,Caribbean,Eastern_Caribbean,0.810,762,693,29.63
C,C3,Astrocoeniidae,Stephanocoenia,Stephanocoenia intersepta,Caribbean,Eastern_Caribbean,0.812,762,698,29.63
C,C34,Faviidae,Diploria,Diploria labyrinthiformis,Caribbean,Eastern_Caribbean,0.877,907,198,29.63
C,C38,Acroporidae,Acropora,Acropora sp.,Caribbean,Eastern_Caribbean,0.608,912,104,29.63
C,C38a,Acroporidae,Acropora,Acropora sp.,Caribbean,Eastern_Caribbean,0.608,913,104,29.63
C,C3b,Agariciidae,Agaricia,Agaricia agaricites,Caribbean,Eastern_Caribbean,0.665,916,122,29.63
C,C3b,Agariciidae,Agaricia,Agaricia humilis,Caribbean,Eastern_Caribbean,0.890,916,128,29.63
C,C3b,Agariciidae,Agaricia,Agaricia lamarcki,Caribbean,Eastern_Caribbean,0.745,916,131,29.63
C,C3o,Faviidae,Montastraea,Montastraea cavernosa,Caribbean,Eastern_Caribbean,0.856,925,414,29.63
C,C3p,Faviidae,Montastraea,Montastraea cavernosa,Caribbean,Eastern_Caribbean,0.856,926,414,29.63
C,C3q,Agariciidae,Agaricia,Agaricia agaricites,Caribbean,Eastern_Caribbean,0.665,927,122,29.63
C,C43,Poritidae,Porites,Porites sp.,Caribbean,Eastern_Caribbean,0.695,934,649,29.63
C,C46,Siderastreidae,Siderastrea,Siderastrea radians,Caribbean,Eastern_Caribbean,0.769,939,685,29.63
