Clade,Type,Gene,Isolate,Methodology,Genbank,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Host_Sci_Name,Environment,Ocean,Country,StateRegion,SubRegion,Locale,Latitude,Longitude,Coordinate_Precision,Min_Depth,Max_Depth,Start_Year_Collect,End_Year_Collect,Ref,Redundancy,Species,Potential_Pseudogene_Ref
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,echinata,Acanthastrea echinata,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,3,3,2002,2002,LaJeunesse_2003_Limnol_Oceanograph_48_2046,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,echinata,Acanthastrea echinata,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,10,10,2002,2002,LaJeunesse_2003_Limnol_Oceanograph_48_2046,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,echinata,Acanthastrea echinata,in hospite,Indian,Tanzania,Western Indian,Zanzibar,Banda Kuu,-5.425601,39.175998,2000,3,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3u,ITS2,NA,DGGE,same_as_GU111879,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,echinata,Acanthastrea echinata,in hospite,Indian,Tanzania,Western Indian,Zanzibar,Banda Kuu,-5.425601,39.175998,2000,3,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
D,D1,ITS2,NA,DGGE,same_as_AF334660,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,echinata,Acanthastrea echinata,in hospite,Pacific,Australia,Great Barrier Reef,Feather Reef,NA,-17.5328028,146.3924694,2000,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,NA,NO_Stat_2009_MEPS_386_83
D,D1a,ITS2,NA,DGGE,same_as_AF499802,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,echinata,Acanthastrea echinata,in hospite,Pacific,Australia,Great Barrier Reef,Feather Reef,NA,-17.5328028,146.3924694,2000,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,same_as_D1b_D5,NA,NO_Thornhill_2007_Mol_Ecol_16_5326
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,hemprichii,Acanthastrea hemprichii,in hospite,Indian,Tanzania,Western Indian,Zanzibar,Banda Kuu,-5.425601,39.175998,2000,3,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3u,ITS2,NA,DGGE,same_as_GU111879,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,hemprichii,Acanthastrea hemprichii,in hospite,Indian,Tanzania,Western Indian,Zanzibar,Banda Kuu,-5.425601,39.175998,2000,3,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C21,ITS2,NA,NA,same_as_AY239372,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Acrhelia,sp.,Acrhelia sp.,in hospite,Pacific,NA,Western Pacific,NA,NA,13,150,5000000,2,10,NA,NA,LaJeunesse_2005_Mol_Biol_Evol_22_570,same_as_C3k_C3d_C21.C3d,NA,NO_Stat_2009_MEPS_386_83
C,C1,ITS2,NA,DGGE,same_as_AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,abrolhosensis,Acropora abrolhosensis,in hospite,Pacific,Japan,Okinawa,Zamami Island,NA,26.2334528,127.3092069,3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,NA,same_as_Symbiodinium goreaui,NO_Thornhill_2007_Mol_Ecol_16_5326
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aculeus,Acropora aculeus,in hospite,Pacific,Australia,Great Barrier Reef,Curacao Island,NA,-18.6672528,146.5557028,3000,1,6,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3h,ITS2,NA,DGGE,same_as_AY239365,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aculeus,Acropora aculeus,in hospite,Pacific,Australia,Great Barrier Reef,Curacao Island,NA,-18.6672528,146.5557028,3000,1,6,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,NA,NA
D,D2,ITS2,NA,DGGE,same_as_AY686649,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aculeus,Acropora aculeus,in hospite,Pacific,Australia,Great Barrier Reef,Feather Reef,NA,-17.5328028,146.3924694,2000,10,17,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,NA,NA
C,C109a,ITS2,NA,DGGE,NA,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,appressa,Acropora appressa,in hospite,Indian,Tanzania,Western Indian,Zanzibar,Banda Kuu,-5.425601,39.175998,2000,3,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,appressa,Acropora appressa,in hospite,Indian,Tanzania,Western Indian,Zanzibar,Bawe,-6.094467,39.072265,1000,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
D,D1,ITS2,NA,DGGE,same_as_AF334660,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,appressa,Acropora appressa,in hospite,Indian,Tanzania,Western Indian,Zanzibar,Banda Kuu,-5.425601,39.175998,2000,3,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
D,D1a,ITS2,NA,DGGE,same_as_AF499802,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,appressa,Acropora appressa,in hospite,Indian,Tanzania,Western Indian,Zanzibar,Banda Kuu,-5.425601,39.175998,2000,3,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,same_as_D1b_D5,NA,NO_Thornhill_2007_Mol_Ecol_16_5326
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Japan,Okinawa,Zamami Island,NA,26.2334528,127.3092069,3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Racha,7.364345,98.221469,2000,2,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Phiphi Don,7.432416,98.464195,5900,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Cape Panwa,7.481125,98.244201,1000,0,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3u,ITS2,NA,DGGE,same_as_GU111879,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Phiphi Don,7.432416,98.464195,5900,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3u,ITS2,NA,DGGE,same_as_GU111879,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Cape Panwa,7.481125,98.244201,1000,0,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3z,ITS2,NA,DGGE,same_as_GU111884,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Racha,7.364345,98.221469,2000,2,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,NA,ITS,NA,cloning,AY624604,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,,,NA,NA,Dove_2004_MEPS_272_99,NA,NA,NA
C,NA,ITS,NA,cloning,AY624605,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,,,NA,NA,Dove_2004_MEPS_272_99,NA,NA,NA
C,NA,ITS,NA,cloning,AY624606,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,,,NA,NA,Dove_2004_MEPS_272_99,NA,NA,NA
D,D1,ITS2,NA,DGGE,same_as_AF334660,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Cape Panwa,7.481125,98.244201,1000,0,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
D,D1a,ITS2,NA,DGGE,same_as_AF499802,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora aspera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Cape Panwa,7.481125,98.244201,1000,0,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,same_as_D1b_D5,NA,NO_Thornhill_2007_Mol_Ecol_16_5326
C,C101,ITS2,NA,DGGE,same_as_GU111881,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Hae,7.450068,98.230912,1500,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,3,3,2002,2002,LaJeunesse_2003_Limnol_Oceanograph_48_2046,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Racha,7.364345,98.221469,2000,2,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Phiphi Lae,7.411501,98.451796,3500,6,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Phiphi Don,7.432416,98.464195,5900,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Cape Panwa,7.481125,98.244201,1000,0,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Similan Islands,Similan,8.344871,97.381451,4500,2,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3u,ITS2,NA,DGGE,same_as_GU111879,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Phiphi Lae,7.411501,98.451796,3500,6,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3u,ITS2,NA,DGGE,same_as_GU111879,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Phiphi Don,7.432416,98.464195,5900,2,6,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3u,ITS2,NA,DGGE,same_as_GU111879,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Cape Panwa,7.481125,98.244201,1000,0,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3z,ITS2,NA,DGGE,same_as_GU111884,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Racha,7.364345,98.221469,2000,2,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3z,ITS2,NA,DGGE,same_as_GU111884,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora austera,in hospite,Pacific,Thailand,Phuket,Similan Islands,Similan,8.344871,97.381451,4500,2,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
D,D1,ITS,A024,cloning,AF396630,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,brueggemanni,Acropora brueggemanni,culture,Pacific,Japan,Okinawa,NA,NA,26.2334528,127.3092069,50000,,,NA,NA,Santos_2003_J_Eukaryotic_Microbiol_50_417,NA,NA,NO_Stat_2009_MEPS_386_83
C,C1,ITS2,NA,DGGE,same_as_AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Australia,Great Barrier Reef,Rib Reef,NA,-18.4818972,146.8737056,1500,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,same_as_Symbiodinium goreaui,NO_Thornhill_2007_Mol_Ecol_16_5326
C,C1,ITS2,NA,DGGE,same_as_AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Australia,Great Barrier Reef,Feather Reef,NA,-17.5328028,146.3924694,2000,10,17,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,same_as_Symbiodinium goreaui,NO_Thornhill_2007_Mol_Ecol_16_5326
C,C101,ITS2,NA,DGGE,same_as_GU111881,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Thailand,Phuket,Similan Islands,Similan,8.344871,97.381451,4500,2,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,3,3,2002,2002,LaJeunesse_2003_Limnol_Oceanograph_48_2046,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,10,10,2002,2002,LaJeunesse_2003_Limnol_Oceanograph_48_2046,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Australia,Great Barrier Reef,Rib Reef,NA,-18.4818972,146.8737056,1500,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Australia,Great Barrier Reef,Rib Reef,NA,-18.4818972,146.8737056,1500,10,17,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Australia,Great Barrier Reef,Feather Reef,NA,-17.5328028,146.3924694,2000,10,17,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Japan,Okinawa,Zamami Island,NA,26.2334528,127.3092069,3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3k,ITS2,NA,DGGE,same_as_AY589737,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,in hospite,Pacific,Australia,Great Barrier Reef,Feather Reef,NA,-17.5328028,146.3924694,2000,10,17,2003,2003,LaJeunesse_2004_MEPS_284_147,NA,NA,NA
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,United States,Florida,Florida Keys,Biscayne National Park,25.479113,-80.231676,10000,,,2005,2005,Bielmyer_2010_Aqua_Tox_97_125,NA,NA,NO_Hunter_2007_J_Phycology_43_120
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Colombia,Cartagena,NA,NA,10.141381,-75.930156,75000,8,10,2006,2006,Camargo_2009_Biodivers_Conserv_18_935,NA,NA,NO_Hunter_2007_J_Phycology_43_120
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Belize,Western Caribbean,South Yucatan,Carrie Bow,16.480001,-88.045999,15000,6,10,2002,2003,Finney_2010_Microb_Ecol_60_250,NA,NA,NO_Hunter_2007_J_Phycology_43_120
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Belize,Western Caribbean,South Yucatan,Carrie Bow,16.480001,-88.045999,15000,10,20,2002,2003,Finney_2010_Microb_Ecol_60_250,NA,NA,NO_Hunter_2007_J_Phycology_43_120
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Mexico,Quintana Roo,Puerto Morelos,NA,20.5,-86.52,4000,4,4,1998,1999,LaJeunesse_2002_Mar_Biol_141_387,NA,NA,NO_Hunter_2007_J_Phycology_43_120
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Bahamas,Exuma Islands,Lee Stocking Island,NA,23.7672556,-76.0946417,3000,3,3,1998,1999,LaJeunesse_2002_Mar_Biol_141_387,NA,NA,NO_Hunter_2007_J_Phycology_43_120
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Bahamas,Exuma Islands,Norman's Pond Cay,North Norman's Patch Reef,23.7672556,-76.0946417,3000,3,3,2000,2004,Thornhill_2006_Mar_Biol_148_711,NA,NA,NO_Hunter_2007_J_Phycology_43_120
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,United States,Florida,Florida Keys,Admiral Patch,24.59,-80.22,10000,1,2,2000,2004,Thornhill_2006_Mar_Biol_148_711,NA,NA,NO_Hunter_2007_J_Phycology_43_120
A,A3,ITS2,NA,DGGE,same_as_AF333507,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,United States,Florida,Florida Keys,Little Grecian,24.59,-80.22,10000,3,3,2000,2004,Thornhill_2006_Mar_Biol_148_711,NA,NA,NO_Hunter_2007_J_Phycology_43_120
B,B1,ITS2,NA,DGGE,same_as_AF333511,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Bahamas,Exuma Islands,Norman's Pond Cay,North Norman's Patch Reef,23.7672556,-76.0946417,3000,3,3,2001,2002,Thornhill_2006_Mar_Biol_148_711,NA,same as Symbiodinium pulchrorum and Symbiodinium bermudense,NO_Thornhill_2007_Mol_Ecol_16_5326
B,B1,ITS2,NA,DGGE,same_as_AF333511,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,United States,Florida,Florida Keys,Admiral Patch,24.59,-80.22,10000,1,2,2000,2002,Thornhill_2006_Mar_Biol_148_711,NA,same as Symbiodinium pulchrorum and Symbiodinium bermudense,NO_Thornhill_2007_Mol_Ecol_16_5326
B,B1,ITS2,NA,DGGE,same_as_AF333511,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,United States,Florida,Florida Keys,Little Grecian,24.59,-80.22,10000,3,3,2000,2002,Thornhill_2006_Mar_Biol_148_711,NA,same as Symbiodinium pulchrorum and Symbiodinium bermudense,NO_Thornhill_2007_Mol_Ecol_16_5326
C,C94a,ITS2,NA,DGGE,Same_as_GU111877,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Aquarium,United States,Florida,Orlando,Sea World,28.410732,-81.462772,2000,,,NA,NA,Smith_2009_J_Phycol_45_1030,NA,NA,NA
D,D1,ITS2,NA,DGGE,same_as_AF334660,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Belize,Western Caribbean,South Yucatan,Carrie Bow,16.480001,-88.045999,15000,10,20,2002,2003,Finney_2010_Microb_Ecol_60_250,NA,NA,NO_Stat_2009_MEPS_386_83
D,D1a,ITS2,NA,DGGE,same_as_AF499802,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,Acropora cervicornis,in hospite,Caribbean,Belize,Western Caribbean,South Yucatan,Carrie Bow,16.480001,-88.045999,15000,10,20,2002,2003,Finney_2010_Microb_Ecol_60_250,same_as_D1b_D5,NA,NO_Thornhill_2007_Mol_Ecol_16_5326
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,clathrata,Acropora clathrata,in hospite,Pacific,Australia,Great Barrier Reef,Heron Island,NA,-23.4441278,151.9160528,5000,3,3,2002,2002,LaJeunesse_2003_Limnol_Oceanograph_48_2046,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,clathrata,Acropora clathrata,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Racha,7.364345,98.221469,2000,2,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,clathrata,Acropora clathrata,in hospite,Pacific,Thailand,Phuket,Similan Islands,Similan,8.344871,97.381451,4235,2,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NO_Stat_2009_MEPS_386_83
C,C3z,ITS2,NA,DGGE,same_as_GU111884,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,clathrata,Acropora clathrata,in hospite,Pacific,Thailand,Phuket,Andaman Sea,Racha,7.364345,98.221469,2000,2,5,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3z,ITS2,NA,DGGE,same_as_GU111884,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,clathrata,Acropora clathrata,in hospite,Pacific,Thailand,Phuket,Similan Islands,Similan,8.344871,97.381451,4500,2,12,2007,2007,LaJeunesse_2010_J_Biogeography_37_785,NA,NA,NA
C,C3,ITS2,NA,DGGE,same_as_AF499789,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,copiosa,Acropora copiosa,in hospite,Pacific,Japan,Okinawa,Zamami Island,NA,26.2334528,127.3092069,3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,NA,NA,NO_Stat_2009_MEPS_386_83
A,A1,ITS2,NA,cloning,same_as_AF333505,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cytherea,Acropora cytherea,in hospite,Pacific,United States,Hawaiian Islands,French Frigate Shoals,NA,23.8496833,-166.2974333,100,15,20,2005,2005,Stat_2008_Biol_Invasions_10_579,NA,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,A1,ITS2,NA,cloning,same_as_AF333505,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cytherea,Acropora cytherea,in hospite,Pacific,United States,Hawaiian Islands,French Frigate Shoals,NA,23.8496833,-166.2974333,100,15,20,2006,2006,Stat_2008_Biol_Invasions_10_579,NA,same_as_Symbiodinium microadriaticum sub. microadriaticum,NO_Hunter_2007_J_Phycology_43_120
A,NA,ITS2,Acyth.a.A1,cloning,EF656428,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cytherea,Acropora cytherea,in hospite,Pacific,United States,Hawaiian Islands,French Frigate Shoals,NA,23.8496833,-166.2974333,100,15,20,2006,2006,Stat_2008_Biol_Invasions_10_579,NA,NA,NA
A,NA,ITS2,Acyth.a.A2,cloning,EF656429,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cytherea,Acropora cytherea,in hospite,Pacific,United States,Hawaiian Islands,French Frigate Shoals,NA,23.8496833,-166.2974333,100,15,20,2006,2006,Stat_2008_Biol_Invasions_10_579,NA,NA,NA
