Spatial Scale,dif_means,obt_p,Obt_f,Pval,type1,type2,p_adjust_holm,,,,,,,
cp,0.009090909,0.310129163,1.035481346,0.378621379,rbdc_dtemp,rbndc_dtemp,0.757242757,,,,,,,
ep,-0.003030303,0.845082157,0.03828125,0.825174825,hsrand_dtemp,net_dtemp,0.825174825,,,,,,,
ep,-0.601010101,8.96E-42,304.6044776,0.000999001,hsrand_dtemp,rand_dtemp,0.00999001,,,,,,,
ep,0.205050505,2.28E-34,224.9349449,0.000999001,hsrand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ep,0.235353535,4.27E-37,252.674867,0.000999001,hsrand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ep,-0.597979798,4.64E-41,296.2962145,0.000999001,net_dtemp,rand_dtemp,0.00999001,,,,,,,
ep,0.208080808,1.22E-32,208.2487732,0.000999001,net_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ep,0.238383838,1.56E-35,236.5728155,0.000999001,net_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ep,0.806060606,1.56E-59,563.0857349,0.000999001,rand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
ep,0.836363636,5.27E-61,589.7134431,0.000999001,rand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
ep,0.03030303,0.027949843,4.903814078,0.020979021,rbdc_dtemp,rbndc_dtemp,0.041958042,,,,,,,
gbr,0,0.318543476,1,0.445554446,hsrand_dtemp,net_dtemp,0.445554446,,,,,,,
gbr,-0.776767677,6.56E-126,3410.225844,0.000999001,hsrand_dtemp,rand_dtemp,0.00999001,,,,,,,
gbr,0.260606061,7.67E-118,2787.723077,0.000999001,hsrand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
gbr,0.203030303,8.72E-82,1083.551724,0.000999001,hsrand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
gbr,-0.776767677,6.56E-126,3410.225844,0.000999001,net_dtemp,rand_dtemp,0.00999001,,,,,,,
gbr,0.260606061,7.67E-118,2787.723077,0.000999001,net_dtemp,rbdc_dtemp,0.00999001,,,,,,,
gbr,0.203030303,8.72E-82,1083.551724,0.000999001,net_dtemp,rbndc_dtemp,0.00999001,,,,,,,
gbr,1.037373737,3.34E-144,5346.200579,0.000999001,rand_dtemp,rbdc_dtemp,0.00999001,,,,,,,
gbr,0.97979798,7.73E-137,4465.720651,0.000999001,rand_dtemp,rbndc_dtemp,0.00999001,,,,,,,
gbr,-0.057575758,7.52E-12,53.12012012,0.000999001,rbdc_dtemp,rbndc_dtemp,0.00999001,,,,,,,
