spatial scale,RobustnessType,diff_obs,obt_p,obt_F,pval,type1,type2,p_adjust_holm
ep_r.permres.151,SymbiontRobustness,0.145877378,4.54E-30,184.6741104,0.000999001,LT_BL,LT_SL,0
ep_r.permres.161,SymbiontRobustness,-0.062485318,1.57E-12,57.06974371,0.000999001,LT_BL,LT_HL,0
ep_r.permres.171,SymbiontRobustness,0.014480352,0.542669675,0.371913093,0.536463536,LT_BL,RH,1
ep_r.permres.181,SymbiontRobustness,-0.009329172,0.260743694,1.272143668,0.267732268,LT_BL,TLH,1
ep_r.permres.191,SymbiontRobustness,0.108996946,3.39E-13,60.98896507,0.000999001,LT_BL,DHH,0
ep_r.permres.201,SymbiontRobustness,-0.009329172,0.260743694,1.272143668,0.260739261,LT_BL,DLH,1
ep_r.permres.211,SymbiontRobustness,-0.208362697,3.07E-76,927.347277,0.000999001,LT_SL,LT_HL,0
ep_r.permres.221,SymbiontRobustness,-0.131397027,5.79E-08,31.84336623,0.000999001,LT_SL,RH,0
ep_r.permres.231,SymbiontRobustness,-0.155206551,1.02E-56,514.5440441,0.000999001,LT_SL,TLH,0
ep_r.permres.241,SymbiontRobustness,-0.036880432,0.005582032,7.85331877,0.003996004,LT_SL,DHH,0.036
ep_r.permres.251,SymbiontRobustness,-0.155206551,1.02E-56,514.5440441,0.000999001,LT_SL,DLH,0
ep_r.permres.261,SymbiontRobustness,0.07696567,0.000667354,11.95805502,0.000999001,LT_HL,RH,0
ep_r.permres.271,SymbiontRobustness,0.053156146,0,7.43E+28,0.000999001,LT_HL,TLH,0
ep_r.permres.281,SymbiontRobustness,0.171482265,3.79E-35,232.6805089,0.000999001,LT_HL,DHH,0
ep_r.permres.291,SymbiontRobustness,0.053156146,0,7.43E+28,0.000999001,LT_HL,DLH,0
ep_r.permres.301,SymbiontRobustness,-0.023809524,0.286045671,1.144373673,0.284715285,RH,TLH,1
ep_r.permres.311,SymbiontRobustness,0.094516595,0.000200043,14.36803076,0.000999001,RH,DHH,0
ep_r.permres.321,SymbiontRobustness,-0.023809524,0.286045671,1.144373673,0.295704296,RH,DLH,1
ep_r.permres.331,SymbiontRobustness,0.118326118,8.02E-21,110.7854741,0.000999001,TLH,DHH,0
ep_r.permres.341,SymbiontRobustness,0,0.318543476,1,0.506493506,TLH,DLH,1
ep_r.permres.351,SymbiontRobustness,-0.118326118,8.02E-21,110.7854741,0.000999001,DHH,DLH,0
ep_r.permres2,HostRobustness,0.030772845,1.15E-05,20.26971194,0.000999001,bleach,RL,0
ep_r.permres.112,HostRobustness,0.050505051,6.53E-13,59.3031628,0.000999001,bleach,LT_BL,0
ep_r.permres.212,HostRobustness,0.054263566,5.84E-08,31.82396758,0.000999001,bleach,LT_SL,0
ep_r.permres.37,HostRobustness,0.272022551,6.29E-124,3246.244553,0.000999001,bleach,LT_HL,0
ep_r.permres.42,HostRobustness,0.099058564,6.37E-06,21.52866883,0.000999001,bleach,RS,0
ep_r.permres.52,HostRobustness,0.085849551,4.04E-10,43.38370209,0.000999001,bleach,TLS,0
ep_r.permres.62,HostRobustness,-0.009721545,0.398887326,0.714795478,0.408591409,bleach,DHS,1
ep_r.permres.72,HostRobustness,0.450262915,3.50E-139,4729.61478,0.000999001,bleach,DLS,0
ep_r.permres.82,HostRobustness,0.019732206,0.003350474,8.820675052,0.003996004,RL,LT_BL,0.03
ep_r.permres.92,HostRobustness,0.023490721,0.016113967,5.891972488,0.017982018,RL,LT_SL,0.119
ep_r.permres.102,HostRobustness,0.241249706,1.89E-112,2432.767887,0.000999001,RL,LT_HL,0
ep_r.permres.113,HostRobustness,0.068285719,0.00163219,10.2051167,0.002997003,RL,RS,0.022
ep_r.permres.122,HostRobustness,0.055076706,3.86E-05,17.73815566,0.000999001,RL,TLS,0
ep_r.permres.132,HostRobustness,-0.040494389,0.000562359,12.29720894,0.003996004,RL,DHS,0.03
ep_r.permres.142,HostRobustness,0.419490071,2.35E-132,3999.825367,0.000999001,RL,DLS,0
ep_r.permres.152,HostRobustness,0.003758515,0.692318895,0.157049316,0.674325674,LT_BL,LT_SL,1
ep_r.permres.162,HostRobustness,0.221517501,2.34E-112,2427.07074,0.000999001,LT_BL,LT_HL,0
ep_r.permres.172,HostRobustness,0.048553514,0.023641816,5.201594805,0.028971029,LT_BL,RS,0.168
ep_r.permres.182,HostRobustness,0.0353445,0.006859382,7.46675172,0.005994006,LT_BL,TLS,0.04
ep_r.permres.192,HostRobustness,-0.060226595,3.26E-07,27.97917417,0.000999001,LT_BL,DHS,0
ep_r.permres.202,HostRobustness,0.399757865,5.13E-132,3966.526618,0.000999001,LT_BL,DLS,0
ep_r.permres.213,HostRobustness,0.217758985,1.21E-65,680.024564,0.000999001,LT_SL,LT_HL,0
ep_r.permres.222,HostRobustness,0.044794998,0.047115732,3.991398389,0.050949051,LT_SL,RS,0.2
ep_r.permres.232,HostRobustness,0.031585985,0.033176361,4.601402146,0.028971029,LT_SL,TLS,0.168
ep_r.permres.242,HostRobustness,-0.06398511,3.43E-06,22.85233804,0.000999001,LT_SL,DHS,0
ep_r.permres.252,HostRobustness,0.395999349,1.46E-99,1746.231757,0.000999001,LT_SL,DLS,0
ep_r.permres.262,HostRobustness,-0.172963987,1.55E-14,69.09167417,0.000999001,LT_HL,RS,0
ep_r.permres.272,HostRobustness,-0.186173,1.92E-35,235.6432446,0.000999001,LT_HL,TLS,0
ep_r.permres.282,HostRobustness,-0.281744096,8.51E-68,725.4390856,0.000999001,LT_HL,DHS,0
ep_r.permres.292,HostRobustness,0.178240364,8.08E-96,1582.866223,0.000999001,LT_HL,DLS,0
ep_r.permres.302,HostRobustness,-0.013209013,0.584018286,0.300779508,0.576423576,RS,TLS,1
ep_r.permres.312,HostRobustness,-0.108780109,5.57E-06,21.81537343,0.000999001,RS,DHS,0
ep_r.permres.322,HostRobustness,0.351204351,6.40E-39,272.2423583,0.000999001,RS,DLS,0
ep_r.permres.332,HostRobustness,-0.095571096,1.11E-08,35.60790624,0.000999001,TLS,DHS,0
ep_r.permres.342,HostRobustness,0.364413364,7.13E-71,794.4342154,0.000999001,TLS,DLS,0
ep_r.permres.352,HostRobustness,0.45998446,5.03E-97,1633.942531,0.000999001,DHS,DLS,0
gbr_r.permres,TotalRobustness,-0.046945647,1.30E-63,639.3108058,0.000999001,bleach,RL,0
gbr_r.permres.1,TotalRobustness,0.044123777,3.92E-75,898.551322,0.000999001,bleach,LT_BL,0
gbr_r.permres.2,TotalRobustness,-0.037646304,6.71E-69,749.603463,0.000999001,bleach,LT_SL,0
gbr_r.permres.3,TotalRobustness,0.120185987,9.24E-172,10392.67569,0.000999001,bleach,LT_HL,0
gbr_r.permres.4,TotalRobustness,0.270567854,2.15E-88,1298.240551,0.000999001,bleach,RB,0
gbr_r.permres.5,TotalRobustness,0.416071673,1.51E-234,46095.86103,0.000999001,bleach,TLB,0
gbr_r.permres.6,TotalRobustness,0.261403035,1.71E-146,5652.638235,0.000999001,bleach,DHB,0
gbr_r.permres.7,TotalRobustness,0.283378892,2.71E-109,2245.00269,0.000999001,bleach,DLB,0
gbr_r.permres.8,TotalRobustness,0.091069424,8.97E-120,2926.235201,0.000999001,RL,LT_BL,0
gbr_r.permres.9,TotalRobustness,0.009299343,2.44E-08,33.80446909,0.000999001,RL,LT_SL,0
gbr_r.permres.10,TotalRobustness,0.167131634,5.96E-183,13576.79191,0.000999001,RL,LT_HL,0
gbr_r.permres.11,TotalRobustness,0.317513501,5.18E-100,1766.917765,0.000999001,RL,RB,0
gbr_r.permres.12,TotalRobustness,0.46301732,1.12E-236,48469.69026,0.000999001,RL,TLB,0
gbr_r.permres.13,TotalRobustness,0.308348682,6.38E-158,7453.690055,0.000999001,RL,DHB,0
gbr_r.permres.14,TotalRobustness,0.330324538,1.07E-120,2994.564651,0.000999001,RL,DLB,0
gbr_r.permres.15,TotalRobustness,-0.081770082,2.50E-143,5233.529344,0.000999001,LT_BL,LT_SL,0
gbr_r.permres.16,TotalRobustness,0.076062209,6.90E-158,7447.534065,0.000999001,LT_BL,LT_HL,0
gbr_r.permres.17,TotalRobustness,0.226444077,6.20E-76,919.3315703,0.000999001,LT_BL,RB,0
gbr_r.permres.18,TotalRobustness,0.371947896,1.34E-232,44023.99197,0.000999001,LT_BL,TLB,0
gbr_r.permres.19,TotalRobustness,0.217279258,1.69E-133,4114.051245,0.000999001,LT_BL,DHB,0
gbr_r.permres.20,TotalRobustness,0.239255114,6.84E-97,1628.216776,0.000999001,LT_BL,DLB,0
gbr_r.permres.21,TotalRobustness,0.157832291,8.87E-238,49745.55236,0.000999001,LT_SL,LT_HL,0
gbr_r.permres.22,TotalRobustness,0.308214159,8.53E-99,1711.631432,0.000999001,LT_SL,RB,0
gbr_r.permres.23,TotalRobustness,0.453717977,2.35E-253,71817.39399,0.000999001,LT_SL,TLB,0
gbr_r.permres.24,TotalRobustness,0.29904934,8.80E-161,7985.355888,0.000999001,LT_SL,DHB,0
gbr_r.permres.25,TotalRobustness,0.321025196,3.70E-120,2954.552047,0.000999001,LT_SL,DLB,0
gbr_r.permres.26,TotalRobustness,0.150381867,5.19E-50,411.1803752,0.000999001,LT_HL,RB,0
gbr_r.permres.27,TotalRobustness,0.295885686,3.02E-225,37007.87988,0.000999001,LT_HL,TLB,0
gbr_r.permres.28,TotalRobustness,0.141217049,4.56E-102,1864.015617,0.000999001,LT_HL,DHB,0
gbr_r.permres.29,TotalRobustness,0.163192905,5.17E-70,774.6332274,0.000999001,LT_HL,DLB,0
gbr_r.permres.30,TotalRobustness,0.145503819,6.06E-47,369.0631481,0.000999001,RB,TLB,0
gbr_r.permres.31,TotalRobustness,-0.009164819,0.259562683,1.278484526,0.231768232,RB,DHB,0.392
gbr_r.permres.32,TotalRobustness,0.012811037,0.176951411,1.836244712,0.196803197,RB,DLB,0.392
gbr_r.permres.33,TotalRobustness,-0.154668638,2.21E-101,1831.138891,0.000999001,TLB,DHB,0
gbr_r.permres.34,TotalRobustness,-0.132692781,1.54E-54,479.1681456,0.000999001,TLB,DLB,0
gbr_r.permres.35,TotalRobustness,0.021975856,0.001257253,10.71325142,0.001998002,DHB,DLB,0.003
gbr_r.permres1,SymbiontRobustness,-0.188776655,4.38E-49,398.1397938,0.000999001,bleach,RL,0
gbr_r.permres.110,SymbiontRobustness,0.070610871,2.10E-12,56.32798775,0.000999001,bleach,LT_BL,0
gbr_r.permres.210,SymbiontRobustness,-0.100817701,6.97E-23,125.8764179,0.000999001,bleach,LT_SL,0
gbr_r.permres.36,SymbiontRobustness,0.070001603,9.62E-18,89.57325296,0.000999001,bleach,LT_HL,0
gbr_r.permres.41,SymbiontRobustness,-0.164878591,6.01E-17,84.3418882,0.000999001,bleach,RH,0
gbr_r.permres.51,SymbiontRobustness,0.138730751,1.28E-45,351.80973,0.000999001,bleach,TLH,0
gbr_r.permres.61,SymbiontRobustness,-0.240282309,6.38E-55,485.2537486,0.000999001,bleach,DHH,0
gbr_r.permres.71,SymbiontRobustness,-0.304812966,4.00E-88,1288.841208,0.000999001,bleach,DLH,0
gbr_r.permres.81,SymbiontRobustness,0.259387526,3.26E-78,980.6345687,0.000999001,RL,LT_BL,0
gbr_r.permres.91,SymbiontRobustness,0.087958955,4.71E-23,127.1603877,0.000999001,RL,LT_SL,0
gbr_r.permres.101,SymbiontRobustness,0.258778259,2.70E-103,1924.233577,0.000999001,RL,LT_HL,0
gbr_r.permres.111,SymbiontRobustness,0.023898065,0.170937076,1.888530898,0.158841159,RL,RH,0.316
gbr_r.permres.121,SymbiontRobustness,0.327507406,7.57E-122,3082.083977,0.000999001,RL,TLH,0
gbr_r.permres.131,SymbiontRobustness,-0.051505654,5.63E-07,26.7759074,0.000999001,RL,DHH,0
gbr_r.permres.141,SymbiontRobustness,-0.116036311,1.33E-37,258.0187944,0.000999001,RL,DLH,0
gbr_r.permres.151,SymbiontRobustness,-0.171428571,2.79E-55,491.0213276,0.000999001,LT_BL,LT_SL,0
gbr_r.permres.161,SymbiontRobustness,-0.000609267,0.916655079,0.010979496,0.901098901,LT_BL,LT_HL,0.91
gbr_r.permres.171,SymbiontRobustness,-0.235489461,5.43E-30,183.9793672,0.000999001,LT_BL,RH,0
gbr_r.permres.181,SymbiontRobustness,0.06811988,2.26E-24,137.2506629,0.000999001,LT_BL,TLH,0
gbr_r.permres.191,SymbiontRobustness,-0.31089318,2.18E-78,985.4371093,0.000999001,LT_BL,DHH,0
