Symbiont.Index,Host.Index,T_MMM_05_degC
731,543,30.38
831,439,30.38
751,654,30.38
777,310,30.38
776,280,30.38
776,339,30.38
776,436,30.38
776,438,30.38
776,439,30.38
776,443,30.38
776,446,30.38
776,452,30.38
776,454,30.38
776,461,30.38
776,466,30.38
776,611,30.38
776,623,30.38
776,628,30.38
776,635,30.38
776,643,30.38
776,650,30.38
776,654,30.38
854,438,30.38
855,635,30.38
864,141,30.38
864,237,30.38
864,296,30.38
864,366,30.38
864,658,30.38
864,663,30.38
772,592,30.38
772,658,30.38
865,584,30.38
865,592,30.38
873,584,30.38
873,592,30.38
792,461,30.38
1024,8,30.38
1025,10,30.38
1026,20,30.38
1027,25,30.38
1028,27,30.38
1029,30,30.38
1030,36,30.38
1031,39,30.38
1032,42,30.38
1033,46,30.38
1034,51,30.38
1035,53,30.38
1036,54,30.38
1037,73,30.38
1038,76,30.38
1039,89,30.38
1040,90,30.38
1041,91,30.38
1042,95,30.38
1043,99,30.38
1044,103,30.38
1045,106,30.38
1046,108,30.38
1047,112,30.38
1048,117,30.38
1049,145,30.38
1050,149,30.38
1051,178,30.38
1052,181,30.38
1053,190,30.38
1054,211,30.38
1055,218,30.38
1056,223,30.38
1057,228,30.38
1058,234,30.38
1059,235,30.38
1060,243,30.38
1061,249,30.38
1062,252,30.38
1063,254,30.38
1064,256,30.38
1065,257,30.38
1066,261,30.38
1067,266,30.38
1068,271,30.38
1069,276,30.38
1070,277,30.38
1071,280,30.38
1072,283,30.38
1073,286,30.38
1074,288,30.38
1075,296,30.38
1076,302,30.38
1077,306,30.38
1078,316,30.38
1079,319,30.38
1080,322,30.38
1081,324,30.38
1082,333,30.38
1083,339,30.38
1084,343,30.38
1085,346,30.38
1086,354,30.38
1087,360,30.38
1088,366,30.38
1089,370,30.38
1090,373,30.38
1091,404,30.38
1092,407,30.38
1093,418,30.38
1094,434,30.38
1095,477,30.38
1096,479,30.38
1097,481,30.38
1098,482,30.38
1099,498,30.38
1100,503,30.38
1101,510,30.38
1102,517,30.38
1103,519,30.38
1104,524,30.38
1105,529,30.38
1106,531,30.38
1107,536,30.38
1108,539,30.38
1109,545,30.38
1110,547,30.38
1111,550,30.38
1112,554,30.38
1113,556,30.38
1114,600,30.38
1115,661,30.38
1116,708,30.38
1117,710,30.38
1118,713,30.38
1119,715,30.38
1120,722,30.38
752,8,30.38
752,10,30.38
752,30,30.38
752,42,30.38
752,53,30.38
752,54,30.38
752,73,30.38
752,76,30.38
752,91,30.38
752,95,30.38
752,99,30.38
752,103,30.38
752,106,30.38
752,108,30.38
752,112,30.38
752,117,30.38
752,145,30.38
752,149,30.38
752,178,30.38
752,181,30.38
752,190,30.38
752,211,30.38
752,218,30.38
752,223,30.38
752,228,30.38
752,234,30.38
752,235,30.38
752,243,30.38
752,249,30.38
752,252,30.38
752,254,30.38
752,256,30.38
752,261,30.38
752,266,30.38
752,271,30.38
752,276,30.38
752,277,30.38
752,280,30.38
752,283,30.38
752,286,30.38
752,288,30.38
752,296,30.38
752,302,30.38
752,306,30.38
752,316,30.38
752,319,30.38
752,322,30.38
752,324,30.38
752,333,30.38
752,339,30.38
752,343,30.38
752,346,30.38
752,354,30.38
752,360,30.38
752,366,30.38
752,370,30.38
752,373,30.38
752,404,30.38
752,407,30.38
752,418,30.38
752,434,30.38
752,477,30.38
752,479,30.38
752,481,30.38
752,482,30.38
752,498,30.38
752,503,30.38
752,510,30.38
752,517,30.38
752,519,30.38
752,524,30.38
752,529,30.38
752,531,30.38
752,536,30.38
752,539,30.38
752,545,30.38
752,547,30.38
752,550,30.38
752,554,30.38
752,556,30.38
752,600,30.38
752,661,30.38
752,710,30.38
752,713,30.38
752,715,30.38
752,722,30.38
929,708,30.38
737,8,30.38
737,10,30.38
737,20,30.38
737,25,30.38
737,27,30.38
737,36,30.38
737,39,30.38
737,42,30.38
737,46,30.38
737,51,30.38
737,53,30.38
737,76,30.38
737,89,30.38
737,90,30.38
737,95,30.38
737,103,30.38
737,108,30.38
737,112,30.38
737,117,30.38
737,257,30.38
737,261,30.38
737,316,30.38
735,576,30.38
761,576,30.38
970,54,30.38
784,54,30.38
1503,8,30.38
1504,30,30.38
1505,87,30.38
1506,108,30.38
1507,117,30.38
1508,141,30.38
1509,149,30.38
1510,178,30.38
1511,190,30.38
1512,218,30.38
1513,254,30.38
1514,261,30.38
1515,271,30.38
1516,277,30.38
1517,280,30.38
1518,296,30.38
1519,306,30.38
1520,310,30.38
1521,319,30.38
1522,322,30.38
1523,324,30.38
1524,328,30.38
1525,330,30.38
1526,331,30.38
1527,354,30.38
1528,359,30.38
1529,366,30.38
1530,373,30.38
1531,404,30.38
1532,418,30.38
1533,434,30.38
1534,493,30.38
1535,507,30.38
1536,510,30.38
1537,514,30.38
1538,519,30.38
1539,529,30.38
1540,536,30.38
1541,539,30.38
1542,545,30.38
1543,547,30.38
1544,550,30.38
1545,556,30.38
1546,572,30.38
1547,576,30.38
1548,592,30.38
1549,598,30.38
1550,658,30.38
1551,713,30.38
1552,722,30.38
972,261,30.38
972,319,30.38
972,434,30.38
972,547,30.38
972,550,30.38
973,576,30.38
748,8,30.38
748,30,30.38
748,87,30.38
748,108,30.38
748,117,30.38
748,141,30.38
748,149,30.38
748,178,30.38
748,190,30.38
748,218,30.38
748,254,30.38
748,261,30.38
748,271,30.38
748,277,30.38
748,280,30.38
748,296,30.38
748,306,30.38
748,310,30.38
748,319,30.38
748,322,30.38
748,324,30.38
748,328,30.38
748,330,30.38
748,331,30.38
748,354,30.38
748,359,30.38
748,366,30.38
748,373,30.38
748,404,30.38
748,418,30.38
748,434,30.38
748,493,30.38
748,507,30.38
748,510,30.38
748,514,30.38
748,519,30.38
748,529,30.38
748,536,30.38
748,539,30.38
748,545,30.38
748,547,30.38
748,550,30.38
748,556,30.38
748,572,30.38
748,592,30.38
748,598,30.38
748,658,30.38
748,713,30.38
748,722,30.38
975,87,30.38
748,333,30.38
748,436,30.38
748,439,30.38
748,446,30.38
748,452,30.38
748,461,30.38
748,466,30.38
748,472,30.38
748,576,30.38
748,584,30.38
976,592,30.38
770,493,30.38
746,163,28.78
746,558,28.78
755,162,28.78
815,680,28.78
1342,260,28.78
1343,299,28.78
1344,309,28.78
1345,313,28.78
1346,563,28.78
1347,680,28.78
1348,704,28.78
822,680,28.78
788,679,28.78
756,453,28.78
778,563,28.78
779,563,28.78
734,725,28.78
757,453,28.78
780,260,28.78
789,725,28.78
772,309,28.78
758,563,28.78
766,313,28.78
781,309,28.78
790,563,28.78
869,313,28.78
785,226,28.78
1121,57,28.78
1122,725,28.78
923,57,28.78
793,725,28.78
791,57,28.78
791,172,28.78
791,226,28.78
791,299,28.78
791,347,28.78
791,376,28.78
741,163,28.78
741,721,28.78
736,163,28.78
736,729,28.78
1553,57,28.78
1554,260,28.78
1555,299,28.78
1556,309,28.78
1557,313,28.78
1558,563,28.78
1559,680,28.78
748,57,28.78
748,260,28.78
748,299,28.78
748,309,28.78
748,313,28.78
748,563,28.78
748,680,28.78
1349,142,28.97
1350,158,28.97
1351,160,28.97
1352,164,28.97
1353,165,28.97
1354,169,28.97
1355,233,28.97
1356,323,28.97
1357,327,28.97
1358,334,28.97
1359,355,28.97
1360,494,28.97
1361,525,28.97
1362,559,28.97
1363,564,28.97
1364,574,28.97
1365,577,28.97
1366,589,28.97
1367,593,28.97
1368,648,28.97
1369,662,28.97
1370,664,28.97
1371,727,28.97
824,707,28.97
825,707,28.97
826,7,28.97
826,88,28.97
826,92,28.97
826,96,28.97
826,101,28.97
826,109,28.97
827,45,28.97
827,50,28.97
827,63,28.97
827,88,28.97
827,92,28.97
827,101,28.97
828,88,28.97
828,92,28.97
828,101,28.97
831,460,28.97
832,101,28.97
832,118,28.97
832,323,28.97
832,326,28.97
833,101,28.97
833,118,28.97
833,323,28.97
794,267,28.97
776,334,28.97
776,612,28.97
776,624,28.97
776,629,28.97
776,642,28.97
776,644,28.97
776,648,28.97
852,624,28.97
852,629,28.97
853,612,28.97
853,642,28.97
853,648,28.97
858,463,28.97
858,469,28.97
859,463,28.97
859,469,28.97
861,232,28.97
861,707,28.97
864,142,28.97
864,158,28.97
864,160,28.97
864,164,28.97
864,165,28.97
864,327,28.97
864,334,28.97
864,355,28.97
864,494,28.97
864,525,28.97
864,559,28.97
864,662,28.97
864,727,28.97
772,574,28.97
772,593,28.97
866,158,28.97
866,160,28.97
866,662,28.97
790,564,28.97
790,577,28.97
790,589,28.97
790,593,28.97
872,327,28.97
872,334,28.97
872,355,28.97
872,559,28.97
874,164,28.97
874,165,28.97
874,494,28.97
874,559,28.97
1123,1,28.97
1124,3,28.97
1125,7,28.97
1126,47,28.97
1127,58,28.97
1128,61,28.97
1129,63,28.97
1130,88,28.97
1131,92,28.97
1132,96,28.97
1133,100,28.97
1134,101,28.97
1135,113,28.97
1136,118,28.97
1137,158,28.97
1138,191,28.97
1139,212,28.97
1140,213,28.97
1141,219,28.97
1142,221,28.97
1143,229,28.97
1144,232,28.97
1145,233,28.97
1146,263,28.97
1147,264,28.97
1148,267,28.97
1149,270,28.97
1150,272,28.97
1151,273,28.97
1152,274,28.97
1153,281,28.97
1154,284,28.97
1155,294,28.97
1156,298,28.97
1157,303,28.97
1158,305,28.97
1159,307,28.97
1160,311,28.97
1161,315,28.97
1162,320,28.97
1163,334,28.97
1164,337,28.97
1165,341,28.97
1166,367,28.97
1167,374,28.97
1168,379,28.97
1169,405,28.97
1170,431,28.97
1171,480,28.97
1172,483,28.97
1173,494,28.97
1174,499,28.97
1175,501,28.97
1176,504,28.97
1177,506,28.97
1178,511,28.97
1179,520,28.97
1180,522,28.97
1181,525,28.97
1182,532,28.97
1183,537,28.97
1184,538,28.97
1185,540,28.97
1186,542,28.97
1187,546,28.97
1188,551,28.97
1189,552,28.97
1190,557,28.97
1191,596,28.97
1192,678,28.97
1193,703,28.97
1194,716,28.97
1195,720,28.97
760,457,28.97
760,467,28.97
902,467,28.97
910,150,28.97
910,326,28.97
915,213,28.97
915,551,28.97
752,1,28.97
752,3,28.97
752,96,28.97
752,101,28.97
752,158,28.97
752,191,28.97
752,212,28.97
752,213,28.97
752,219,28.97
752,221,28.97
752,229,28.97
752,232,28.97
752,233,28.97
752,264,28.97
752,267,28.97
752,270,28.97
752,272,28.97
752,273,28.97
752,274,28.97
752,281,28.97
752,284,28.97
752,294,28.97
752,298,28.97
752,303,28.97
752,305,28.97
752,307,28.97
752,311,28.97
752,315,28.97
752,334,28.97
752,337,28.97
752,341,28.97
752,367,28.97
752,374,28.97
752,379,28.97
752,480,28.97
752,483,28.97
752,494,28.97
752,499,28.97
752,501,28.97
752,504,28.97
752,506,28.97
752,511,28.97
752,520,28.97
752,522,28.97
752,525,28.97
752,532,28.97
752,537,28.97
752,538,28.97
752,546,28.97
752,551,28.97
752,552,28.97
752,557,28.97
752,596,28.97
752,678,28.97
752,716,28.97
752,720,28.97
930,703,28.97
737,47,28.97
737,58,28.97
737,61,28.97
737,63,28.97
737,92,28.97
737,100,28.97
737,101,28.97
737,118,28.97
737,320,28.97
737,405,28.97
737,431,28.97
737,540,28.97
737,552,28.97
735,577,28.97
761,577,28.97
958,140,28.97
1560,7,28.97
1561,113,28.97
1562,191,28.97
1563,272,28.97
1564,294,28.97
1565,305,28.97
1566,307,28.97
1567,379,28.97
1568,480,28.97
1569,537,28.97
1570,557,28.97
1571,683,28.97
748,7,28.97
748,191,28.97
748,272,28.97
748,294,28.97
748,305,28.97
748,307,28.97
748,379,28.97
748,480,28.97
748,537,28.97
748,557,28.97
1372,578,29.87
776,625,29.87
842,625,29.87
843,625,29.87
844,625,29.87
845,625,29.87
851,625,29.87
772,578,29.87
761,578,29.87
1572,578,29.87
748,578,29.87
768,24,27.60
768,580,27.60
768,587,27.60
796,580,27.60
1373,24,27.60
1374,71,27.60
1375,167,27.60
1376,170,27.60
1377,176,27.60
1378,179,27.60
1379,290,27.60
1380,292,27.60
1381,352,27.60
1382,357,27.60
1383,358,27.60
1384,365,27.60
1385,368,27.60
1386,528,27.60
1387,568,27.60
1388,580,27.60
1389,582,27.60
1390,587,27.60
1391,669,27.60
816,368,27.60
817,368,27.60
818,568,27.60
819,290,27.60
819,358,27.60
820,290,27.60
820,358,27.60
820,568,27.60
821,290,27.60
821,580,27.60
776,608,27.60
776,610,27.60
776,627,27.60
776,630,27.60
776,632,27.60
776,651,27.60
836,651,27.60
837,651,27.60
838,610,27.60
839,651,27.60
840,651,27.60
841,651,27.60
846,651,27.60
847,610,27.60
848,610,27.60
849,651,27.60
858,441,27.60
743,441,27.60
864,368,27.60
772,24,27.60
772,170,27.60
772,368,27.60
772,568,27.60
772,580,27.60
772,587,27.60
864,290,27.60
864,358,27.60
864,528,27.60
864,568,27.60
865,568,27.60
864,179,27.60
864,292,27.60
864,669,27.60
866,176,27.60
866,290,27.60
866,352,27.60
866,357,27.60
866,358,27.60
